student_id,gender,age,study_hours,sleep_hours,attendance,assignments_completed,previous_score,final_score
1,M,20,2.5,7.0,82,7,61,65
2,F,21,4.0,7.5,91,9,72,81
3,M,20,1.5,6.0,68,5,55,52
4,F,22,5.0,8.0,95,10,78,89
5,M,21,3.0,6.5,76,7,64,67
6,F,20,6.0,7.5,98,10,85,94
7,M,22,2.0,5.5,71,6,58,56
8,F,21,4.5,7.0,88,8,69,77
9,M,20,5.5,8.0,93,9,80,88
10,F,22,1.0,6.0,64,4,49,48
11,M,21,3.5,7.0,85,8,67,71
12,F,20,4.0,8.5,92,9,74,83
13,M,22,2.5,6.5,73,6,57,59
14,F,21,5.0,7.5,96,10,82,91
15,M,20,1.5,5.5,66,4,51,50
16,F,22,3.5,7.0,84,7,65,70
17,M,21,4.5,8.0,90,9,76,84
18,F,20,2.0,6.5,75,6,60,61
19,M,22,6.5,8.5,99,10,88,96
20,F,21,3.0,7.5,87,8,70,75
